model_name,accuracy,precision,recall,f1,train_time,inference_time,latency_ms
Naive Bayes,0.9265232974910395,0.8742138364779874,0.996415770609319,0.931323283082077,0.0075566768646240234,0.0011157989501953125,0.001999639695690524
Logistic Regression,0.9713261648745519,0.9713261648745519,0.9713261648745519,0.9713261648745519,0.04525566101074219,0.0004341602325439453,0.000778064932874454
Linear SVM,0.9874551971326165,0.9788732394366197,0.996415770609319,0.9875666074600356,0.017206192016601562,0.000457763671875,0.0008203650033602151
